;GND-ID;Name_identifiziert;occupation_GND;birth_GND;gender;death_GND;country_GND;country_norm
982;11870396X;Herzmanovsky-Orlando, Fritz von;"Schriftsteller; Künstler";1877-04-30;Männlich;1954-05-27;"Deutschland; Österreich";D,Ö
983;118610473;Schopenhauer, Johanna;"Romanschriftsteller; Schriftsteller";1766-07-09;Weiblich;1838-04-16;Deutschland;D
984;120512599;Butler, Octavia E.;Schriftsteller;1947-06-22;Weiblich;2006-02-24;USA;
985;131647679;Schalansky, Judith;"Kommunikationsdesigner; Schriftsteller";1980-09-20;Weiblich;;Deutschland;D
986;1049854284;Moser, Hans;Schriftsteller;1868;Männlich;;Österreich;Ö
987;1077373678;Haider, Lydia;"Schriftsteller; Schriftsteller; Schriftsteller";1985;Weiblich;;Österreich;Ö
988;141775769;Mason, Zachary;"Schriftsteller; Informatiker";1974-02-26;Männlich;;USA;
989;118633333;Williams, Tennessee;Schriftsteller;1911-03-26;Männlich;1983-02-25;USA;
990;124458343;Foer, Jonathan Safran;Schriftsteller;1977-02-21;Männlich;;USA;
991;132082179;Stanišić, Saša;"Kinderbuchautor; Schriftsteller; Drehbuchautor";1978-03-07;Männlich;;"Deutschland; Bosnien-Herzegowina";D
992;118629387;Wassermann, Jakob;"Essayist; Theaterkritiker; Erzähler; Schriftsteller; Dramatiker";1873-03-10;Männlich;1934-01-01;"Österreich; Deutschland";D,Ö
993;118660438;Bode, Johann Joachim Christoph;"Buchdrucker; Schriftsteller; Buchhändler; Musiker; Philosoph; Verleger; Übersetzer; Drucker; Freimaurer";1731-01-16;Männlich;1793-12-13;Deutschland;D
994;1165693593;Adler, Helena;"Maler; Künstler; Schriftsteller";1983;Weiblich;;Österreich;Ö
995;124140289;Henschel, Gerhard;"Schriftsteller; Übersetzer";1962-04-28;Männlich;;Deutschland;D
996;118543830;Gutzkow, Karl;"Philologe; Dramaturg; Schriftsteller; Publizist; Erzähler; Journalist; Dramatiker";1811-03-17;Männlich;1878-12-16;Deutschland;D
997;118569880;Lasker-Schüler, Else;"Librettist; Künstler; Schriftsteller; Dramatiker; Lyriker";1869-02-11;Weiblich;1945-01-22;"Israel; Deutschland";D
998;118527908;Dürrenmatt, Friedrich;"Dramatiker; Librettist; Theaterkritiker; Maler; Grafiker; Schriftsteller";1921-01-05;Männlich;1990-12-14;Europa;S
999;122732650;Theweleit, Klaus;"Philologe; Schriftsteller; Literaturwissenschaftler; Hochschullehrer; Kulturwissenschaftler";1942-02-07;Männlich;;Deutschland;D
1000;115451544;Schwanitz, Dietrich;"Hochschullehrer; Literaturwissenschaftler; Schriftsteller; Philologe";1940-04-23;Männlich;2004-12-17;Deutschland;D
1001;13743569X;Adorján, Johanna;"Schriftsteller; Journalist";1971;Weiblich;;"Deutschland; Dänemark; Schweden";D
1002;118558587;Jünger, Ernst;"Schriftsteller; Philosoph; Entomologe; Offizier";1895-03-29;Männlich;1998-02-17;Deutschland;D
1003;118549030;Hemingway, Ernest;"Reporter; Kriegsberichterstatter; Nobelpreisträger; Journalist; Schriftsteller";1899-07-21;Männlich;1961-07-02;"USA; Italien; Kuba";
1004;119339056;Lazar, Maria;"Journalist; Schriftsteller";1885-11-22;Weiblich;1948-03-30;"Österreich; Dänemark; Schweden";Ö
1005;120729466;Schalek, Alice;"Kriegsberichterstatter; Fotograf; Schriftsteller; Journalist";1874-08-21;Weiblich;1956-11-06;"Österreich; USA";Ö
1006;118593234;Petrarca, Francesco;"Lyriker; Geschichtsschreiber; Librettist; Philosoph; Schriftsteller; Humanist";1304-07-20;Männlich;1374-07-19;Italien;
1007;118557211;Jean Paul;"Lyriker; Librettist; Schriftsteller";1763-03-21;Männlich;1825-11-14;Deutschland;D
1008;107828553;Rowohlt, Harry;"Journalist; Übersetzer; Lyriker; Sprecher; Verleger; Schriftsteller";1945-03-27;Männlich;2015-06-15;Deutschland;D
1009;118756540;Tetzner, Lisa;"Kinderbuchautor; Schriftsteller; Jugendbuchautor";1894-11-10;Weiblich;1963-07-02;"Deutschland; Europa";D,S
1010;120560216;Druskowitz, Helene von;Schriftsteller;1858-05-02;Weiblich;1918-05-31;Österreich;Ö
1011;133328260;Perinet, Joachim;"Schriftsteller; Dramatiker; Theaterdirektor; Schauspieler; Journalist";1763-10-20;Männlich;1816-02-04;Österreich;Ö
1012;101457014X;Alexander, Karl;Schriftsteller;1746-05-18;Männlich;1783-09-24;Österreich;Ö
1013;119204290;Kertész, Imre;"Dramatiker; Nobelpreisträger; Drehbuchautor; Schriftsteller; Übersetzer";1929-11-09;Männlich;2016-03-31;"Ungarn; Deutschland";D
1014;118791508;Ruederer, Josef;"Schriftsteller; Dramatiker";1861-10-15;Männlich;1915-10-20;Deutschland;D
1015;118653377;Basedow, Johann Bernhard;"Pädagoge; Hochschullehrer; Schriftsteller; Theologe; Philosoph; Gymnasiallehrer; Verleger";1723-09-11;Männlich;1790-07-25;Deutschland;D
1016;118677888;Derrida, Jacques;"Schriftsteller; Aktivist; Philosoph; Hochschullehrer";1930-07-15;Männlich;2004-10-09;Frankreich;
1017;10709312X;Ritter, Henning;"Journalist; Übersetzer; Schriftsteller";1943-07-20;Männlich;2013-06-23;Deutschland;D
1018;118505602;Bachmann, Ingeborg;"Librettist; Musiker; Schriftsteller";1926-06-25;Weiblich;1973-10-17;"Italien; Österreich";Ö
1019;120012502;Gruber, Reinhard P.;Schriftsteller;1947-01-20;Männlich;;Österreich;Ö
1020;118568124;Kunze, Reiner;"Schriftsteller; Regisseur; Lyriker; Übersetzer";1933-08-16;Männlich;;Deutschland;D
1021;118579819;Meckel, Christoph;"Schriftsteller; Lyriker; Drehbuchautor; Grafiker; Illustrator";1935-06-12;Männlich;2020-01-29;"Deutschland; Frankreich; Italien";D
1022;118503952;Ariosto, Ludovico;Schriftsteller;1474-09-08;Männlich;1533-07-06;Italien;
1023;11853453X;Foucault, Michel;"Hochschullehrer; Philosoph; Psychologe; Schriftsteller";1926-10-15;Männlich;1984-06-25;Frankreich;
1024;118763938;Urzidil, Johannes;"Kunsthistoriker; Lyriker; Übersetzer; Literarhistoriker; Schriftsteller; Arrangeur";1896-02-03;Männlich;1970-11-02;"Deutschland; Tschechische Republik; Österreich; USA";D,Ö
1025;139660631;Filhés, Bertha;"Schriftsteller; Dramatiker";1819-02-20;Weiblich;;Deutschland;D
1026;133249980;Eggers, Dave;"Drehbuchautor; Herausgeber; Schriftsteller";1970;Männlich;;USA;
1027;119290650;Pressler, Mirjam;"Schriftsteller; Übersetzer";1940-06-18;Weiblich;2019-01-16;Deutschland;D
1028;119079518;Freundlich, Elisabeth;"Journalist; Dramaturg; Schriftsteller";1906-07-21;Weiblich;2001-01-25;"USA; Frankreich; Österreich";Ö
1029;120682133;Müller, Burkhard;"Schriftsteller; Literaturkritiker; Philologe";1959;Männlich;;Deutschland;D
1030;119018489;Fritz, Marianne;Schriftsteller;1948-12-14;Weiblich;2007-10-01;Österreich;Ö
1031;118502549;Améry, Jean;"Schriftsteller; Publizist";1912-10-31;Männlich;1978-10-17;"Österreich; Belgien";Ö
1032;118508172;Beckett, Samuel;"Schriftsteller; Dramatiker; Übersetzer";1906-04-13;Männlich;1989-12-22;"Großbritannien; Irland; Frankreich";
1033;124744001;Krneta, Guy;"Schriftsteller; Dramaturg";1964;Männlich;;Europa;S
1034;118595024;Plenzdorf, Ulrich;"Drehbuchautor; Schriftsteller; Übersetzer";1934-10-26;Männlich;2007-08-09;Deutschland;D
1035;1070181080;Sealsfield, Charles;Schriftsteller;1793-03-03;Männlich;1864-05-26;"Deutschland; Österreich; USA; Europa";D,Ö,S
1036;11856949X;Langgässer, Elisabeth;"Librettist; Schriftsteller";1899-02-23;Weiblich;1950-07-25;Deutschland;D
1037;118614452;Simon, Claude;"Nobelpreisträger; Maler; Schriftsteller";1913-10-10;Unbekannt;2005-07-06;"Madagaskar; Frankreich";
1038;135189810;Lassahn, Bernhard;"Liedermacher; Schriftsteller; Musiker; Kinderbuchautor; Komponist";1951;Männlich;;Deutschland;D
1039;115484108;Krall, Hanna;"Journalist; Schriftsteller";1935-05-20;Weiblich;;"Juden; Polen";
1040;137505892;Groff, Lauren;Schriftsteller;1978;Weiblich;;USA;
1041;118603450;Roussel, Raymond;Schriftsteller;1877-01-20;Männlich;1933-07-14;Frankreich;
1042;11917698X;Jonke, Gert;Schriftsteller;1946-02-08;Männlich;2009-01-04;Österreich;Ö
1043;1012609324;Lentz, Michael;"Drehbuchautor; Regisseur; Filmproduzent; Schriftsteller";1926-09-09;Männlich;2001-11-30;Deutschland;D
1044;118518208;Byron, George Gordon Byron, Baron;"Schriftsteller; Librettist";1788-01-22;Männlich;1824-04-19;Großbritannien;
1045;118616277;Spitteler, Carl;"Redakteur; Pfarrer; Schriftsteller; Pädagoge";1845-04-24;Männlich;1924-12-29;Europa;S
1046;11875856X;Schnabel, Ernst;"Übersetzer; Librettist; Schriftsteller; Seemann; Rundfunkintendant; Drehbuchautor; Regisseur";1913-09-26;Männlich;1986-01-25;Deutschland;D
1047;118578103;Marriot, Emil;"Journalist; Schriftsteller";1855-11-20;Weiblich;1938-05-05;Österreich;Ö
1048;1051756766;Belorusecʹ, Jevhenija;"Übersetzer; Fotograf; Schriftsteller; Videokünstler; Journalist";1980;Weiblich;;"Deutschland; Ukraine";D
1049;118526634;Domin, Hilde;"Lyriker; Schriftsteller";1909-07-27;Weiblich;2006-02-22;"Großbritannien; Dominikanische Republik; Italien; Deutschland";D
1050;129435856;Rinck, Monika;"Übersetzer; Schriftsteller; Librettist";1969-04-29;Weiblich;;"Deutschland; Österreich";D,Ö
1051;118705849;Hoffmann, Dieter;"Schriftsteller; Kunstkritiker; Redakteur; Lyriker";1934-08-02;Männlich;;Deutschland;D
1052;1062825225;Gamillscheg, Marie;"Journalist; Schriftsteller";1992;Weiblich;;"Deutschland; Österreich";D,Ö
1053;140809619;Schönthaler, Philipp;"Schriftsteller; Philologe";1976-10-13;Männlich;;Deutschland;D
1054;11856501X;Kommerell, Max;"Literarhistoriker; Schriftsteller; Literaturwissenschaftler; Übersetzer";1902-02-25;Männlich;1944-07-25;Deutschland;D
1055;115769919;Schreiner, Margit;Schriftsteller;1953-12-22;Weiblich;;Österreich;Ö
