;Bevorzugter Name;Ländercode;Beruf oder Beschäftigung;GND-Nummer;Geburtsdatum;Geschlecht;Austrian;German;Swiss;Land
3608;Safranski, Rüdiger;Deutschland;"Philosoph; Schriftsteller; Germanist; Historiker";115680667;1945-01-01;Männlich;0.0;1.0;0.0;D
3609;Marker, Chris;Frankreich;"Regisseur; Journalist; Fotograf; Regisseur";119261464;1921-07-29;Männlich;0.0;0.0;0.0;
3611;Fisher, Mark;Großbritannien;"Kulturwissenschaftler; Literaturwissenschaftler; Hochschullehrer; Blogger; Philosoph";14058143X;1968-07-11;Männlich;0.0;0.0;0.0;
3612;Reik, Theodor;"Niederlande;USA;Österreich";"Psychoanalytiker; Religionspsychologe";118599216;1888-05-12;Männlich;1.0;0.0;0.0;Ö
3613;Pörnbacher, Karl;Deutschland;"Historiker; Germanist";122902114;1934;Männlich;0.0;1.0;0.0;D
3614;Dietrich, Stephan;Deutschland;Literaturwissenschaftler;115527192;1969;Männlich;0.0;1.0;0.0;D
3616;Gelfert, Hans-Dieter;Deutschland;"Anglist; Schriftsteller; Übersetzer";120132338;1937;Männlich;0.0;1.0;0.0;D
3617;Lehnert, Christian;Deutschland;"Theologe; Schriftsteller; Lyriker; Pfarrer";115820388;1969-05-20;Männlich;0.0;1.0;0.0;D
3618;Granichstaedten, Bruno;"USA;Deutschland;Österreich";"Komponist; Librettist; Sänger; Musiker; Drehbuchautor; Dirigent; Komponist";133464490;1879-09-01;Männlich;1.0;1.0;0.0;D,Ö
3619;Bredetzky, Samuel;Deutschland;"Evangelischer Theologe; Superintendent; Statistiker";116469285;1772;Männlich;0.0;1.0;0.0;D
3620;Dettmar, Ute;Deutschland;"Germanist; Hochschullehrer";123594626;1969;Weiblich;0.0;1.0;0.0;D
3621;Bahr, Egon;Deutschland;"Politiker; Sozialdemokrat; Journalist; Industriekaufmann; Politiker";118651935;1922-03-18;Männlich;0.0;1.0;0.0;D
3622;Hotschnig, Alois;Österreich;"Schriftsteller; Librettist; Germanist; Anglist";120729369;1959-10-03;Männlich;1.0;0.0;0.0;Ö
3623;Stierle, Karlheinz;Deutschland;"Romanist; Übersetzer; Literaturwissenschaftler";117258091;1936-11-22;Männlich;0.0;1.0;0.0;D
3624;Kaempfer, Engelbert;Deutschland;"Arzt; Forschungsreisender";118559168;1651-09-16;Männlich;0.0;1.0;0.0;D
3625;Simm, Hans-Joachim;Deutschland;"Herausgeber; Schriftsteller";14184843X;1946-12-08;Unbekannt;0.0;1.0;0.0;D
3626;Metz, Christian;Deutschland;"Literaturwissenschaftler; Hochschullehrer";1012868915;1975;Männlich;0.0;1.0;0.0;D
3627;Schirach, Ferdinand von;Deutschland;"Jurist; Strafverteidiger; Schriftsteller";138992215;1964;Männlich;0.0;1.0;0.0;D
3628;Heym, Georg;"Deutschland;Polen";"Schriftsteller; Jurist; Librettist; Dramatiker";118550683;1887-10-30;Männlich;0.0;1.0;0.0;D
3629;Brown, Robert;"Großbritannien;Liberia";Literaturwissenschaftler;1181012325;1945-10-12;Männlich;0.0;0.0;0.0;
3630;Vogt, M.;Deutschland;Drucker;103755745X;;Unbekannt;0.0;1.0;0.0;D
3631;Knigge, Adolph, Freiherr;Deutschland;"Schriftsteller; Satiriker; Dramatiker; Komponist; Übersetzer; Dramatiker";11856370X;1752-10-16;Männlich;0.0;1.0;0.0;D
3632;Scheichl, Sigurd Paul;Österreich;Literaturwissenschaftler;115795561;1942;Männlich;1.0;0.0;0.0;Ö
3633;Wagner, Richard;"Österreich;Italien;Deutschland;Europa";"Komponist; Schriftsteller";118594117;1813-05-22;Männlich;1.0;1.0;1.0;D,Ö,S
3634;Faßmann, Heinz;"Deutschland;Österreich";"Geograf; Politiker; Hochschullehrer";118167790;1955-08-13;Männlich;1.0;1.0;0.0;D,Ö
3635;DeLillo, Don;USA;Schriftsteller;118889664;1936;Männlich;0.0;0.0;0.0;
3636;Noethen, Ulrich;Deutschland;"Schauspieler; Sprecher; Musiker";124076890;1959;Männlich;0.0;1.0;0.0;D
3637;Fosse, Jon;Norwegen;"Schriftsteller; Kinderbuchautor; Übersetzer";120052547;1959-09-29;Männlich;0.0;0.0;0.0;
3638;Powell, Padgett;USA;Schriftsteller;115576037;1952;Unbekannt;0.0;0.0;0.0;
3639;Suter, Martin;"Europa;Spanien;Guatemala";"Schriftsteller; Kolumnist; Drehbuchautor; Werbetexter";123543185;1948-02-29;Männlich;0.0;0.0;1.0;S
3640;Tergit, Gabriele;"Deutschland;Israel;Großbritannien";"Schriftsteller; Journalist; Sekretär";11862136X;1894-03-04;Weiblich;0.0;1.0;0.0;D
3641;Schenk, Sylvie;"Frankreich;Deutschland";"Schriftsteller; Lehrer";130675954;1944;Weiblich;0.0;1.0;0.0;D
