;wien_total;wien_rel;wien_total_M;wien_total_F;wien_rel_F;wien_rel_M;wien_relrel_F;wien_relrel_M;graz_total;graz_rel;graz_total_M;graz_total_F;graz_rel_F;graz_rel_M;graz_relrel_F;graz_relrel_M;basel_total;basel_rel;basel_total_M;basel_total_F;basel_rel_F;basel_rel_M;basel_relrel_F;basel_relrel_M;chemnitz_total;chemnitz_rel;chemnitz_total_M;chemnitz_total_F;chemnitz_rel_F;chemnitz_rel_M;chemnitz_relrel_F;chemnitz_relrel_M;erfurt_total;erfurt_rel;erfurt_total_M;erfurt_total_F;erfurt_rel_F;erfurt_rel_M;erfurt_relrel_F;erfurt_relrel_M;halle_total;halle_rel;halle_total_M;halle_total_F;halle_rel_F;halle_rel_M;halle_relrel_F;halle_relrel_M;marburg_total;marburg_rel;marburg_total_M;marburg_total_F;marburg_rel_F;marburg_rel_M;marburg_relrel_F;marburg_relrel_M;mainz_total;mainz_rel;mainz_total_M;mainz_total_F;mainz_rel_F;mainz_rel_M;mainz_relrel_F;mainz_relrel_M;stuttgart_total;stuttgart_rel;stuttgart_total_M;stuttgart_total_F;stuttgart_rel_F;stuttgart_rel_M;stuttgart_relrel_F;stuttgart_relrel_M;semester_start
20;37;0.052556818181818184;29.0;8.0;0.21621621621621623;0.7837837837837838;0.0003071253071253071;0.0011133292383292382;21;0.015;20.0;1.0;0.047619047619047616;0.9523809523809523;3.401360544217687e-05;0.0006802721088435374;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;52;0.040278853601859024;49.0;3.0;0.057692307692307696;0.9423076923076923;4.468807722099744e-05;0.0007299052612762915;0;0.0;;;;;;;9;0.016666666666666666;9.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2010-09-01
21;69;0.09801136363636363;53.0;16.0;0.2318840579710145;0.7681159420289855;0.00032938076416337287;0.0010910737812911725;21;0.015;15.0;6.0;0.2857142857142857;0.7142857142857143;0.0002040816326530612;0.0005102040816326531;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;64;0.049573973663826494;61.0;2.0;0.03125;0.953125;2.420604182804028e-05;0.0007382842757552285;0;0.0;;;;;;;28;0.05185185185185185;28.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2011-04-01
22;48;0.06818181818181818;38.0;10.0;0.20833333333333334;0.7916666666666666;0.0002959280303030303;0.001124526515151515;28;0.02;24.0;4.0;0.14285714285714285;0.8571428571428571;0.0001020408163265306;0.0006122448979591836;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;24;0.018590240123934933;18.0;6.0;0.25;0.75;0.00019364833462432224;0.0005809450038729666;0;0.0;;;;;;;20;0.037037037037037035;18.0;2.0;0.1;0.9;0.0001851851851851852;0.0016666666666666668;0;0.0;;;;;;;2011-09-01
23;43;0.061079545454545456;33.0;10.0;0.23255813953488372;0.7674418604651163;0.000330338266384778;0.0010901162790697674;26;0.018571428571428572;13.0;13.0;0.5;0.5;0.00035714285714285714;0.00035714285714285714;0;0.0;;;;;;;0;0.0;;;;;;;5;0.01557632398753894;5.0;0.0;0.0;1.0;0.0;0.003115264797507788;35;0.027110766847405113;32.0;3.0;0.08571428571428572;0.9142857142857143;6.639371472833905e-05;0.0007081996237689499;0;0.0;;;;;;;32;0.05925925925925926;30.0;2.0;0.0625;0.9375;0.00011574074074074075;0.001736111111111111;0;0.0;;;;;;;2012-04-01
24;32;0.045454545454545456;28.0;4.0;0.125;0.875;0.0001775568181818182;0.0012428977272727273;49;0.035;41.0;8.0;0.16326530612244897;0.8367346938775511;0.00011661807580174926;0.000597667638483965;0;0.0;;;;;;;0;0.0;;;;;;;10;0.03115264797507788;9.0;1.0;0.1;0.9;0.00031152647975077883;0.0028037383177570096;62;0.048024786986831915;56.0;6.0;0.0967741935483871;0.9032258064516129;7.496064566102795e-05;0.000699632692836261;0;0.0;;;;;;;34;0.06296296296296296;33.0;1.0;0.029411764705882353;0.9705882352941176;5.446623093681917e-05;0.0017973856209150326;0;0.0;;;;;;;2012-09-01
25;43;0.061079545454545456;36.0;7.0;0.16279069767441862;0.8372093023255814;0.00023123678646934463;0.0011892177589852009;18;0.012857142857142857;15.0;3.0;0.16666666666666666;0.8333333333333334;0.00011904761904761905;0.0005952380952380953;0;0.0;;;;;;;0;0.0;;;;;;;21;0.06542056074766354;16.0;5.0;0.23809523809523808;0.7619047619047619;0.0007417297136923305;0.0023735350838154576;53;0.041053446940356314;44.0;9.0;0.16981132075471697;0.8301886792452831;0.0001315347178580302;0.0006430586206392588;0;0.0;;;;;;;7;0.012962962962962963;7.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2013-04-01
26;25;0.03551136363636364;22.0;2.0;0.08;0.88;0.00011363636363636364;0.00125;20;0.014285714285714285;17.0;3.0;0.15;0.85;0.00010714285714285714;0.0006071428571428571;46;0.0738362760834671;41.0;5.0;0.10869565217391304;0.8913043478260869;0.00017447135180403378;0.0014306650847930769;0;0.0;;;;;;;14;0.04361370716510903;10.0;4.0;0.2857142857142857;0.7142857142857143;0.0008900756564307966;0.0022251891410769915;54;0.041828040278853604;51.0;2.0;0.037037037037037035;0.9444444444444444;2.8688642166566254e-05;0.0007315603752474395;0;0.0;;;;;;;39;0.07222222222222222;38.0;1.0;0.02564102564102564;0.9743589743589743;4.748338081671415e-05;0.0018043684710351377;0;0.0;;;;;;;2013-09-01
27;55;0.078125;43.0;12.0;0.21818181818181817;0.7818181818181819;0.0003099173553719008;0.0011105371900826447;20;0.014285714285714285;15.0;5.0;0.25;0.75;0.00017857142857142857;0.0005357142857142857;44;0.07062600321027288;43.0;1.0;0.022727272727272728;0.9772727272727273;3.648037355902525e-05;0.0015686560630380855;0;0.0;;;;;;;10;0.03115264797507788;10.0;0.0;0.0;1.0;0.0;0.003115264797507788;54;0.041828040278853604;43.0;11.0;0.2037037037037037;0.7962962962962963;0.0001577875319161144;0.0006168058065811745;0;0.0;;;;;;;22;0.040740740740740744;19.0;3.0;0.13636363636363635;0.8636363636363636;0.0002525252525252525;0.0015993265993265993;0;0.0;;;;;;;2014-04-01
28;50;0.07102272727272728;39.0;11.0;0.22;0.78;0.0003125;0.0011079545454545454;17;0.012142857142857143;14.0;3.0;0.17647058823529413;0.8235294117647058;0.00012605042016806722;0.000588235294117647;74;0.1187800963081862;66.0;8.0;0.10810810810810811;0.8918918918918919;0.00017352826341590389;0.0014316081731812068;0;0.0;;;;;;;10;0.03115264797507788;9.0;1.0;0.1;0.9;0.00031152647975077883;0.0028037383177570096;90;0.069713400464756;83.0;4.0;0.044444444444444446;0.9222222222222223;3.442637059987951e-05;0.0007143471899474998;0;0.0;;;;;;;15;0.027777777777777776;14.0;1.0;0.06666666666666667;0.9333333333333333;0.0001234567901234568;0.0017283950617283952;0;0.0;;;;;;;2014-09-01
29;57;0.08096590909090909;38.0;19.0;0.3333333333333333;0.6666666666666666;0.00047348484848484844;0.0009469696969696969;34;0.024285714285714285;24.0;9.0;0.2647058823529412;0.7058823529411765;0.00018907563025210084;0.0005042016806722689;62;0.09951845906902086;62.0;0.0;0.0;1.0;0.0;0.0016051364365971107;0;0.0;;;;;;;24;0.07476635514018691;19.0;5.0;0.20833333333333334;0.7916666666666666;0.0006490134994807892;0.002466251298026999;76;0.05886909372579396;71.0;4.0;0.05263157894736842;0.9342105263157895;4.076807044722573e-05;0.0007236332504382567;0;0.0;;;;;;;21;0.03888888888888889;21.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2015-04-01
