;GND-ID;occupation_GND;birth_GND;gender_GND;death_GND;country_GND
207;129283290;"Literaturwissenschaftler; Gastprofessur";1974-03-31;Unbekannt;;Luxemburg
208;1073394581;;;Unbekannt;;Land unbekannt
209;121210944;Soziologe;1937-09-01;Unbekannt;2007-01-16;Deutschland
210;11466885X;"Germanist; Autor";1962-12-08;Weiblich;;Deutschland
211;112875629;"Künstler; Comiczeichner";1959;Männlich;;Frankreich
212;118551256;"Musikwissenschaftler; Komponist; Pianist; Dirigent; Künstler; Bratschist";1895-11-16;Männlich;1963-12-28;"Europa; Türkei; Deutschland; USA"
213;119001802;"Schriftsteller; Lyriker; Übersetzer; Drehbuchautor; Librettist; Nobelpreisträger";1946-10-20;Weiblich;;"Österreich; Deutschland"
214;129336459;"Regisseur; Dramaturg; Journalist; Schauspieler; Dramatiker; Librettist";1967;Männlich;;Deutschland
215;128622830;"Schriftsteller; Kameramann";1961;Männlich;;Großbritannien
216;118509861;"Dramatiker; Schriftsteller; Librettist";1931-02-09;Männlich;1989-02-12;"Niederlande; Österreich"
217;12989432X;"Schriftsteller; Hofrat; Dramatiker; Philologe; Lyriker; Librettist; Übersetzer; Herausgeber";1773-05-31;Männlich;1853-04-28;Deutschland
218;124285392;"Schriftsteller; Journalist";1948;Weiblich;;"Juden; Israel; Deutschland"
219;120085879;"Literaturkritiker; Schriftsteller; Lyriker; Dramaturg";1947-07-02;Männlich;2013-05-05;Europa
220;118617036;"Übersetzer; Schriftsteller";1947-10-03;Weiblich;2017-11-29;"Deutschland; Europa"
221;119106086;;1928;Männlich;;Deutschland
222;120854325;"Hochschullehrer; Historiker";1953-12-17;Männlich;;Deutschland
223;1031936548;"Filmproduzent; Komiker; Autor; Journalist; Moderator";1981;Männlich;;Deutschland
224;10975915X;"Literaturwissenschaftler; Medienwissenschaftler";1948-01-22;Männlich;;Deutschland
225;120832550;"Germanist; Literaturwissenschaftler";1955;Männlich;;Deutschland
226;118745557;;;Unbekannt;;Großbritannien
227;116888695;"Wirtschaftswissenschaftler; Sozialwissenschaftler";1883-09-11;Männlich;1938-05-10;Österreich
228;118504185;"Schriftsteller; Komponist";1785-04-04;Weiblich;1859-01-20;Deutschland
229;136158404;Schriftsteller;1984;Männlich;;"Deutschland; Europa"
230;11851573X;"Regisseur; Filmregisseur; Schauspieler";1926-06-28;Männlich;;USA
231;122498933;;1971;Weiblich;;Deutschland
232;1137078499;"Hochschullehrer; Kulturwissenschaftler; Biolog";;Weiblich;;Deutschland
233;119234440;Schriftsteller;1964;Männlich;;USA
234;118791141;"Künstler; Maler; Schriftsteller; Grafiker; Schauspieler; Musiker";1615-06-21;Männlich;1673-03-15;Italien
235;142124214;"Filmregisseur; Regisseur; Toningenieur; Filmeditor; Drehbuchautor";1975;Weiblich;;Deutschland
236;1193450640;Slawist;;Weiblich;;Deutschland
237;124689140;"Hochschullehrer; Soziologe; Kultursoziologe";1973;Männlich;;"Österreich; Deutschland"
238;1080152148;Literaturwissenschaftler;;Weiblich;;Land unbekannt
239;1126753955;Übersetzer;1943-01-30;Männlich;2003-08-29;Deutschland
240;118778838;;1745;Unbekannt;1806;"Österreich; Slowakei"
241;108408477;"Germanist; Literaturwissenschaftler";1948-06-26;Männlich;;Deutschland
242;121970647;"Germanist; Linguist; Philologe; Hochschullehrer";1925-07-17;Männlich;;Deutschland
243;136298869;Philosoph;1976;Männlich;;Deutschland
244;102669728X;"Arabist; Islamwissenschaftler";1926-06-21;Männlich;2007-07-09;"Irak; USA"
245;122308263;"Hochschullehrer; Literaturwissenschaftler";1946;Männlich;;"Tschechische Republik; Österreich"
246;1154885844;Schriftsteller;1987;Weiblich;;"Irak; Deutschland"
247;118630539;"Dramatiker; Filmarchitekt; Maler; Schriftsteller; Drehbuchautor; Librettist; Musiker; Continuity <Filmschaffender>; Grafiker; Filmproduzent; Regisseur";1916-11-08;Männlich;1982-05-10;"Großbritannien; Tschechoslowakei; Schweden; Deutschland"
248;1044770910;"Hochschullehrer; Germanist";1975;Männlich;;Deutschland
249;120054396;"Hochschullehrer; Essayist; Philosoph; Kritiker";1953;Männlich;;Österreich
250;1012868915;"Literaturwissenschaftler; Hochschullehrer";1975;Männlich;;Deutschland
251;118549561;;1750-01-28;Weiblich;1809-09-15;Deutschland
252;124704816;"Literaturwissenschaftler; Dozent; Autor";1961-08-27;Männlich;;Deutschland
253;116993111;"Philologe; Literaturwissenschaftler; Anglist";1933-09-21;Männlich;2018-09-03;Deutschland
254;1243113154;"Schriftsteller; Zeichner";1973;Männlich;;Europa
255;118573748;Philosoph;1632-08-29;Männlich;1704-10-28;Großbritannien
256;118554387;"Psychologe; Schriftsteller";1892-04-23;Männlich;1974-04-20;"Europa; Deutschland; USA"
257;116063750;Herausgeber;;Weiblich;;Deutschland
258;118544381;"Arzt; Zeichner; Biologe; Naturwissenschaftler; Hochschullehrer; Philosoph; Zoologe";1834-02-16;Männlich;1919-08-09;Deutschland
259;11852321X;"Theologe; Komponist; Hochschullehrer; Schriftsteller; Philosoph";1605-07-29;Männlich;1659-04-15;"Litauen; Deutschland; Russland"
260;135823439;"Literaturwissenschaftler; Lehrbeauftragter; Wissenschaftlicher Mitarbeiter";1976;Männlich;;Deutschland
261;1027728154;"Feminist; Sozialdemokrat; Journalist; Schriftsteller";1874-01-11;Weiblich;1924-06-05;"Ukraine; Österreich"
262;133629473;"Übersetzer; Schriftsteller";1964;Weiblich;;Israel
263;115820388;"Theologe; Schriftsteller; Lyriker; Pfarrer";1969;Männlich;;Deutschland
264;133431576;"Germanist; Hochschullehrer; Literaturwissenschaftler";1961;Männlich;;Deutschland
265;116255897;"Musiklehrer; Feminist; Schriftsteller; Politiker; Journalist";1849-03-31;Weiblich;1912-02-10;"Österreich; Ungarn"
266;118906739;Historiker;1914-07-21;Männlich;1984-02-08;Frankreich
267;118529390;"Erzähler; Verwaltungsbeamter; Schriftsteller; Übersetzer; Lyriker; Jurist";1788-03-10;Männlich;1857-11-26;"Deutschland; Polen"
268;118600044;"Übersetzer; Schriftsteller; Maler";1871-05-18;Weiblich;1918-07-25;"Europa; Deutschland"
269;123865166;"Journalist; Schriftsteller";;Männlich;;USA
270;118563300;"Schriftsteller; Theaterdirektor; Dramatiker";1777-08-31;Männlich;1831-01-25;Deutschland
271;120013428;"Drehbuchautor; Schriftsteller; Journalist";1966-12-29;Männlich;;"Europa; Indien"
272;124986242;Historiker;1899;Unbekannt;1981;Großbritannien
273;115495894;"Literaturwissenschaftler; Schriftsteller";1936;Männlich;;Deutschland
274;1042312907;Autor;1965;Weiblich;;Deutschland
275;122268466;Literaturwissenschaftler;1960;Männlich;;Deutschland
276;130546801;Philologe;1944-11-08;Männlich;;Deutschland
277;118508091;"Schriftsteller; Fotograf";1932-07-10;Männlich;;Deutschland
278;118558501;"Schriftsteller; Librettist";1882-02-02;Männlich;1941-01-13;"Frankreich; Großbritannien; Irland"
279;138324271;"Dramatiker; Schriftsteller";1978;Männlich;;Österreich
280;11437015X;;1958;Männlich;;Deutschland
281;1158819749;;;Unbekannt;;Land unbekannt
282;122455134;Jurist;1961-05-26;Weiblich;2010-08-28;Deutschland
283;118820052;Schriftsteller;1928-01-02;Männlich;2006-09-02;Österreich
284;123900395;"Hochschullehrer; Philologe";1968;Männlich;;Deutschland
285;120931281;"Schriftsteller; Literaturwissenschaftler";1966;Männlich;;Deutschland
286;118810758;"Philosoph; Wissenschaftler; Soziologe; Ethnologe";1930-08-01;Männlich;2002-01-23;Frankreich
287;118517600;"Literaturwissenschaftler; Publizist; Privatdozent; Germanist; Schriftsteller; Redakteur";1942;Männlich;1989;"Europa; Deutschland"
288;11880393X;"Schauspieler; Regisseur; Drehbuchautor; Kamerafrau; Filmproduzent; Fotograf";1928-05-30;Weiblich;2019-03-29;Belgien
289;1176130706;Germanist;;Männlich;;Österreich
290;128933275;"Theologe; Religionswissenschaftler; Religionsphilosoph; Hochschullehrer";1945-06-22;Männlich;;Österreich
291;108117812;"Archivar; Historiker";1940-01-27;Männlich;;Deutschland
292;132368102;"Literaturwissenschaftler; Hochschullehrer";1962;Männlich;;Deutschland
293;1020470194;Germanist;1963;Weiblich;;Deutschland
294;121398218;"Literaturwissenschaftler; Germanist";1947;Männlich;;Deutschland
